key,context,swedish,englishUK,englishUS,status,translator,lastModified,notes,charCount
b2b.orders.bgblue600_textwhite_px4_py2_roundedlg_hoverbgblue7,              onClick={() => window.location.reload()}               className=:bg-blue-600 text-white px-4 py-2 rounded-lg hover:bg-blue-700 transition-colors,bg-blue-600 text-white px-4 py-2 rounded-lg hover:bg-blue-700 transition-colors,,,new,,,From               onClick={() => window.location.reload()}               className=,79
b2b.orders.bgwhite_border_bordergray200_roundedlg_p4_hoverbor,                return (                   <div key={order.id} className=:bg-white border border-gray-200 rounded-lg p-4 hover:border-gray-300 transition-colors,bg-white border border-gray-200 rounded-lg p-4 hover:border-gray-300 transition-colors,,,new,,,From                 return (                   <div key={order.id} className=,86
b2b.orders.flex_itemsstart_justifybetween_mb3,                    {/* Order Header */}                     <div className=:flex items-start justify-between mb-3,flex items-start justify-between mb-3,,,new,,,From                     {/* Order Header */}                     <div className=,37
b2b.orders.rod,"      transparent: 'Transparent',       rod: 'Röd',        fluorescerande: 'Fluorescerande',:OrderPage.jsx",Röd,,,new,,,"From       transparent: 'Transparent',       rod: 'Röd',        fluorescerande: 'Fluorescerande',",3
b2b.orders.fluorescerande,"      rod: 'Röd',        fluorescerande: 'Fluorescerande',       glitter: 'Glitter':OrderPage.jsx",Fluorescerande,,,new,,,"From       rod: 'Röd',        fluorescerande: 'Fluorescerande',       glitter: 'Glitter'",14
b2b.orders._b2b_products_loaded_for_individual_ordering,"                 console.log('📊 B2B products loaded for individual ordering:', productsData.length);         setProducts(productsData);:OrderPage.jsx",📊 B2B products loaded for individual ordering:,,,new,,,"From                  console.log('📊 B2B products loaded for individual ordering:', productsData.length);         setProducts(productsData);",47
b2b.orders.ett_fel_uppstod_nar_produkterna_skulle_hamtas,"        console.error('Error fetching products:', error);         toast.error('Ett fel uppstod när produkterna skulle hämtas');       } finally {:OrderPage.jsx",Ett fel uppstod när produkterna skulle hämtas,,,new,,,"From         console.error('Error fetching products:', error);         toast.error('Ett fel uppstod när produkterna skulle hämtas');       } finally {",45
b2b.orders.du_har_bestallt_for_fa_forpackningar_totalpackages,"      toast.error(         `Du har beställt för få förpackningar (${totalPackages}), beställ minst ${remainingQuantity} st till för att nå minst ${MINIMUM_ORDER_QUANTITY} förpackningar`       );:OrderPage.jsx","Du har beställt för få förpackningar (${totalPackages}), beställ minst ${remainingQuantity} st till för att nå minst ${MINIMUM_ORDER_QUANTITY} förpackningar",,,new,,,"From       toast.error(         `Du har beställt för få förpackningar (${totalPackages}), beställ minst ${remainingQuantity} st till för att nå minst ${MINIMUM_ORDER_QUANTITY} förpackningar`       );",156
b2b.orders.order_skapad,             toast.success('Order skapad!');       navigate(`/orders/${order.id}`);:OrderPage.jsx,Order skapad!,,,new,,,From              toast.success('Order skapad!');       navigate(`/orders/${order.id}`);,13
b2b.orders.flex_justifycenter_itemscenter_hscreen,    return (       <div className=:flex justify-center items-center h-screen,flex justify-center items-center h-screen,,,new,,,From     return (       <div className=,41
b2b.orders.flex_itemsstart_mdgap3_gap4,              <div className=:bg-blue-50 border border-blue-200 rounded-lg md:p-4 p-5 mb-4,flex items-start md:gap-3 gap-4,,,new,,,From               <div className=,31
b2b.orders.getcolordisplaynamecolorid_b2b_forpackning,                              src={colorProduct.b2bImageUrl || colorProduct.imageUrl}                                alt={`${getColorDisplayName(colorId)} - B2B Förpackning`}                                className=:md:w-32 md:h-32 w-40 h-40 mx-auto object-contain rounded-lg border-2 border-gray-200,${getColorDisplayName(colorId)} - B2B Förpackning,,,new,,,From                               src={colorProduct.b2bImageUrl || colorProduct.imageUrl}                                alt={`${getColorDisplayName(colorId)} - B2B Förpackning`}                                className=,49
